"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68",".last() - get last DOM element","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","213","cy.request() - verify response using BDD syntax","Network Requests","2026-07-13","passed","2026-07-13","","","",""
"","1815",".click() - click on a DOM element","Actions","2026-07-13","passed","2026-07-13","","","",""
"","372","can add new todo items","example to-do app","2026-07-13","passed","2026-07-13","","","",""
"","745",".check() - check a checkbox or radio element","Actions","2026-07-13","passed","2026-07-13","","","",""
"","622","cy.screenshot() - take a screenshot","Misc","2026-07-13","passed","2026-07-13","","Cypress.Screenshot","",""
"","277","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-07-13","passed","2026-07-13","","","",""
"","72",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","75","can throw any error","Assertions","2026-07-13","passed","2026-07-13","","Explicit Assertions","",""
"","271","Cypress._ - call a lodash method","Utilities","2026-07-13","passed","2026-07-13","","","",""
"","230","can filter for uncompleted tasks","example to-do app","2026-07-13","passed","2026-07-13","","with a checked task","",""
"","67","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-07-13","passed","2026-07-13","","","",""
"","78",".next() - get next sibling DOM element","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","97",".debug() - enable or disable debugging","Cypress APIs","2026-07-13","passed","2026-07-13","","Cypress.Cookies","",""
"","142","Get CPU architecture name of underlying OS","Cypress APIs","2026-07-13","passed","2026-07-13","","Cypress.arch","",""
"","81","matches unknown text between two elements","Assertions","2026-07-13","passed","2026-07-13","","Explicit Assertions","",""
"","227","can delete all completed tasks","example to-do app","2026-07-13","passed","2026-07-13","","with a checked task","",""
"","68","assert - assert shape of an object","Assertions","2026-07-13","passed","2026-07-13","","Explicit Assertions","",""
"","201",".children() - get child DOM elements","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","417","cy.getAllCookies() - get all browser cookies","Cookies","2026-07-13","passed","2026-07-13","","","",""
"","106",".scrollIntoView() - scroll an element into view","Actions","2026-07-13","passed","2026-07-13","","","",""
"","479",".clear() - clears an input or textarea element","Actions","2026-07-13","passed","2026-07-13","","","",""
"","530",".as() - alias a route for later use","Aliasing","2026-07-13","passed","2026-07-13","","","",""
"","80","finds element by class name regex","Assertions","2026-07-13","passed","2026-07-13","","Explicit Assertions","",""
"","100",".focus() - focus on a DOM element","Actions","2026-07-13","passed","2026-07-13","","","",""
"","167","cy.request() with query parameters","Network Requests","2026-07-13","passed","2026-07-13","","","",""
"","19","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-07-13","passed","2026-07-13","","","",""
"","835",".select() - select an option in a <select> element","Actions","2026-07-13","passed","2026-07-13","","","",""
"","227","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-07-13","passed","2026-07-13","","","",""
"","88",".closest() - get closest ancestor DOM element","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","2526","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-07-13","passed","2026-07-13","","","",""
"","72","cy.url() - get the current URL","Location","2026-07-13","passed","2026-07-13","","","",""
"","268","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-07-13","passed","2026-07-13","","","",""
"","74",".prevAll() - get all previous sibling DOM elements","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","75",".not() - remove DOM elements from set of DOM elements","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","159","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-07-13","passed","2026-07-13","","","",""
"","92","cy.location() - get window.location","Location","2026-07-13","passed","2026-07-13","","","",""
"","722",".uncheck() - uncheck a checkbox element","Actions","2026-07-13","passed","2026-07-13","","","",""
"","74","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-07-13","passed","2026-07-13","","Cypress.Screenshot","",""
"","174","cy.writeFile() - write to a file","Files","2026-07-13","passed","2026-07-13","","","",""
"","202","cy.window() - get the global window object","Window","2026-07-13","passed","2026-07-13","","","",""
"","77","yields the original subject without return","Connectors","2026-07-13","passed","2026-07-13","",".then()","",""
"","2107","cy.scrollTo() - scroll the window or element to a position","Actions","2026-07-13","passed","2026-07-13","","","",""
"","67","cy.title() - get the title","Window","2026-07-13","passed","2026-07-13","","","",""
"","4335","cy.wait() - wait for a specific amount of time","Waiting","2026-07-13","passed","2026-07-13","","","",""
"","354","cy.request() - make an XHR request","Network Requests","2026-07-13","passed","2026-07-13","","","",""
"","1073","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-07-13","passed","2026-07-13","","","",""
"","214","cy.wait() - wait for a specific route","Waiting","2026-07-13","passed","2026-07-13","","","",""
"","742","cy.exec() - execute a system command","Misc","2026-07-13","passed","2026-07-13","","","",""
"","146","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-07-13","passed","2026-07-13","","","",""
"","219","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-07-13","passed","2026-07-13","","","",""
"","272","cy.fixture() - load a fixture","Files","2026-07-13","passed","2026-07-13","","","",""
"","165",".rightclick() - right click on a DOM element","Actions","2026-07-13","passed","2026-07-13","","","",""
"","70",".prev() - get previous sibling DOM element","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","92",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","112","cy.setCookie() - set a browser cookie","Cookies","2026-07-13","passed","2026-07-13","","","",""
"","206",".each() - iterate over an array of elements","Connectors","2026-07-13","passed","2026-07-13","","","",""
"","418","displays two todo items by default","example to-do app","2026-07-13","passed","2026-07-13","","","",""
"","319",".as() - alias a DOM element for later use","Aliasing","2026-07-13","passed","2026-07-13","","","",""
"","156",".dblclick() - double click on a DOM element","Actions","2026-07-13","passed","2026-07-13","","","",""
"","357",".blur() - blur off a DOM element","Actions","2026-07-13","passed","2026-07-13","","","",""
"","179","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-07-13","passed","2026-07-13","","","",""
"","1578","retries the should callback until assertions pass","Assertions","2026-07-13","passed","2026-07-13","","Explicit Assertions","",""
"","65",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","81","cy.fixture() or require - load a fixture","Files","2026-07-13","passed","2026-07-13","","","",""
"","104",".nextAll() - get all next sibling DOM elements","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","79",".within() - query DOM elements within a specific element","Querying","2026-07-13","passed","2026-07-13","","","",""
"","582","best practices - selecting elements","Querying","2026-07-13","passed","2026-07-13","","","",""
"","78","expect - make an assertion about a specified subject","Assertions","2026-07-13","passed","2026-07-13","","Explicit Assertions","",""
